Movie,Release Date,Theatrical Distributor,MPAA(Motion Picure)Rating,Total Gross,Inflation-Adjusted Gross,Genre
American Sniper,25-Dec-14,Warner Bros.,R,"$350,126,372.00","$380,938,233 ",Drama
Apollo 13,30-Jun-95,Universal,PG,"$173,772,767.00","$365,379,356 ",Drama
The Twilight Saga: New Moon,20-Nov-09,Summit Entertainment,PG-13,"$296,623,634.00","$362,147,912 ",Drama
The Twilight Saga: Eclipse,30-Jun-10,Summit Entertainment,PG-13,"$300,531,751.00","$349,287,217 ",Drama
The Twilight Saga: Breaking Dawn…,16-Nov-12,Lionsgate,PG-13,"$292,324,737.00","$336,684,143 ",Drama
The Twilight Saga: Breaking Dawn…,18-Nov-11,Summit Entertainment,PG-13,"$281,287,133.00","$325,246,411 ",Drama
The Perfect Storm,30-Jun-00,Warner Bros.,PG-13,"$182,618,434.00","$310,688,504 ",Drama
The Blind Side,20-Nov-09,Warner Bros.,PG-13,"$255,959,475.00","$310,083,412 ",Drama
A Beautiful Mind,21-Dec-01,Universal,PG-13,"$170,708,996.00","$271,012,491 ",Drama
Good Will Hunting,5-Dec-97,Miramax,R,"$138,433,435.00","$270,992,289 ",Drama
Catch Me if You Can,25-Dec-02,Dreamworks SKG,PG-13,"$164,606,800.00","$255,933,242 ",Drama
The Truman Show,5-Jun-98,Paramount Pictures,PG,"$125,618,201.00","$245,611,701 ",Drama
Twilight,21-Nov-08,Summit Entertainment,PG-13,"$192,769,854.00","$245,334,162 ",Drama
The Green Mile,10-Dec-99,Warner Bros.,R,"$136,801,374.00","$240,701,074 ",Drama
American Beauty,15-Sep-99,Dreamworks SKG,R,"$130,058,047.00","$228,640,598 ",Drama
A Time to Kill,24-Jul-96,Warner Bros.,R,"$108,766,007.00","$225,652,545 ",Drama
The Pursuit of Happyness,15-Dec-06,Sony Pictures,PG-13,"$162,586,036.00","$223,311,059 ",Drama
Youâve Got Mail,18-Dec-98,Warner Bros.,PG,"$115,821,495.00","$220,784,063 ",Drama
Cinderella,13-Mar-15,Walt Disney,PG,"$201,151,353.00","$218,808,763 ",Drama
Bohemian Rhapsody,2-Nov-18,20th Century Fox,PG-13,"$216,303,339.00","$217,582,395 ",Drama
Phenomenon,5-Jul-96,Walt Disney,PG,"$104,636,382.00","$217,077,504 ",Drama
A Star is Born,5-Oct-18,Warner Bros.,R,"$215,288,866.00","$216,629,155 ",Drama
Meet the Fockers,22-Dec-04,Universal,PG-13,"$279,167,575.00","$406,855,908 ",Comedy
Austin Powers: The Spy Who Shagg…,10-Jun-99,New Line,PG-13,"$206,040,085.00","$371,926,681 ",Comedy
Bruce Almighty,23-May-03,Universal,PG-13,"$242,704,995.00","$369,088,685 ",Comedy
Liar Liar,21-Mar-97,Universal,PG-13,"$181,410,615.00","$362,425,993 ",Comedy
The Hangover,5-Jun-09,Warner Bros.,R,"$277,322,503.00","$339,072,983 ",Comedy
Austin Powers in Goldmember,25-Jul-02,New Line,PG-13,"$213,117,789.00","$336,366,622 ",Comedy
The Waterboy,6-Nov-98,Walt Disney,PG-13,"$161,491,646.00","$314,033,702 ",Comedy
Wedding Crashers,15-Jul-05,New Line,R,"$209,218,368.00","$299,303,023 ",Comedy
Big Daddy,25-Jun-99,Sony Pictures,PG-13,"$163,479,795.00","$295,100,339 ",Comedy
The Hangover Part II,26-May-11,Warner Bros.,R,"$254,464,305.00","$294,254,434 ",Comedy
Meet the Parents,6-Oct-00,Universal,PG-13,"$166,225,040.00","$282,400,796 ",Comedy
The Nutty Professor,28-Jun-96,Universal,PG-13,"$128,814,019.00","$267,245,372 ",Comedy
Scary Movie,7-Jul-00,Miramax/Dimension,R,"$157,019,771.00","$267,137,524 ",Comedy
Elf,7-Nov-03,New Line,PG,"$175,531,840.00","$264,484,386 ",Comedy
The Birdcage,8-Mar-96,MGM,R,"$124,060,553.00","$257,383,542 ",Comedy
Patch Adams,25-Dec-98,Universal,PG-13,"$135,014,968.00","$253,549,134 ",Comedy
My Best Friend's Wedding,20-Jun-97,Sony Pictures,PG,"$126,813,153.00","$253,348,439 ",Comedy
Ted,29-Jun-12,Universal,R,"$218,665,740.00","$251,905,127 ",Comedy
American Pie 2,10-Aug-01,Universal,R,"$145,096,820.00","$235,077,352 ",Comedy
Ace Ventura: When Nature Calls,10-Nov-95,Warner Bros.,PG-13,"$108,360,063.00","$228,294,825 ",Comedy
The Longest Yard,27-May-05,Paramount Pictures,PG-13,"$158,119,460.00","$226,202,094 ",Comedy
Wild Hogs,2-Mar-07,Walt Disney,PG-13,"$168,213,584.00","$224,203,272 ",Comedy
The First Wives Club,20-Sep-96,Paramount Pictures,PG,"$105,489,203.00","$218,791,340 ",Comedy
22 Jump Street,13-Jun-14,Sony Pictures,R,"$191,719,337.00","$215,185,595 ",Comedy
Casper,26-May-95,Universal,PG,"$100,328,194.00","$211,496,440 ",Comedy
The Sixth Sense,6-Aug-99,Walt Disney,PG-13,"$293,506,292.00","$528,036,147 ",Thriller
The Hunger Games,23-Mar-12,Lionsgate,PG-13,"$408,010,692.00","$470,032,412 ",Thriller
The Hunger Games: Mockingjay - P…,21-Nov-14,Lionsgate,PG-13,"$337,135,885.00","$377,937,066 ",Thriller
Signs,2-Aug-02,Walt Disney,PG-13,"$227,969,295.00","$359,794,322 ",Thriller
Inception,16-Jul-10,Warner Bros.,PG-13,"$292,576,195.00","$340,040,986 ",Thriller
Joker,4-Oct-19,Warner Bros.,R,"$335,451,311.00","$335,815,689 ",Thriller
Gravity,4-Oct-13,Warner Bros.,PG-13,"$274,092,705.00","$309,052,980 ",Thriller
The Hunger Games: Mockingjay - P…,20-Nov-15,Lionsgate,PG-13,"$281,723,902.00","$306,245,538 ",Thriller
The Da Vinci Code,19-May-06,Sony Pictures,PG-13,"$217,536,138.00","$304,550,592 ",Thriller
The Bourne Ultimatum,3-Aug-07,Universal,PG-13,"$227,471,070.00","$303,184,546 ",Thriller
Ocean's Eleven,7-Dec-01,Warner Bros.,PG-13,"$183,417,150.00","$295,846,217 ",Thriller
What Lies Beneath,21-Jul-00,Dreamworks SKG,PG-13,"$155,464,351.00","$264,491,291 ",Thriller
The Bourne Supremacy,23-Jul-04,Universal,PG-13,"$176,087,450.00","$260,019,623 ",Thriller
The Martian,2-Oct-15,20th Century Fox,PG-13,"$228,433,663.00","$248,400,527 ",Thriller
Se7en,22-Sep-95,New Line,R,"$100,125,643.00","$210,635,047 ",Thriller
The Bourne Identity,14-Jun-02,Universal,PG-13,"$121,468,960.00","$191,716,062 ",Thriller
Gone Girl,3-Oct-14,20th Century Fox,R,"$167,767,189.00","$188,247,390 ",Thriller
Taken,30-Jan-09,20th Century Fox,PG-13,"$145,000,989.00","$177,287,874 ",Thriller
Us,22-Mar-19,Universal,R,"$175,084,580.00","$175,275,719 ",Thriller
The Village,30-Jul-04,Walt Disney,PG-13,"$114,197,520.00","$168,629,826 ",Thriller
Angels & Demons,15-May-09,Sony Pictures,PG-13,"$133,375,846.00","$163,074,200 ",Thriller
Vanilla Sky,14-Dec-01,Paramount Pictures,R,"$100,614,858.00","$162,193,183 ",Thriller
Unbreakable,22-Nov-00,Walt Disney,PG-13,"$94,999,143.00","$161,218,935 ",Thriller
Taken 2,5-Oct-12,20th Century Fox,PG-13,"$139,854,287.00","$161,099,816 ",Thriller
1917,25-Dec-19,Universal,R,"$159,227,644.00","$159,229,081 ",Thriller
I am Legend,14-Dec-07,Warner Bros.,PG-13,"$256,393,010.00","$338,933,956 ",Horror
It,8-Sep-17,Warner Bros.,R,"$328,828,874.00","$334,783,459 ",Horror
Hannibal,9-Feb-01,MGM,R,"$165,092,266.00","$267,472,797 ",Horror
The Blair Witch Project,14-Jul-99,Artisan,R,"$140,539,099.00","$253,689,664 ",Horror
It: Chapter Two,6-Sep-19,Warner Bros.,R,"$211,593,228.00","$211,824,221 ",Horror
Scream,20-Dec-96,Miramax,R,"$103,046,663.00","$208,875,525 ",Horror
The Ring,18-Oct-02,Dreamworks SKG,PG-13,"$129,094,024.00","$203,643,481 ",Horror
Scream 2,12-Dec-97,Miramax,R,"$101,363,301.00","$201,830,911 ",Horror
A Quiet Place,6-Apr-18,Paramount Pictures,PG-13,"$188,024,361.00","$189,262,720 ",Horror
Sleepy Hollow,19-Nov-99,Paramount Pictures,R,"$101,068,340.00","$181,585,991 ",Horror
Get Out,24-Feb-17,Universal,R,"$175,837,935.00","$179,752,944 ",Horror
The Haunting,23-Jul-99,Dreamworks SKG,PG-13,"$91,188,905.00","$164,606,736 ",Horror
The Grudge,22-Oct-04,Sony Pictures,PG-13,"$110,359,362.00","$162,962,207 ",Horror
Halloween,19-Oct-18,Universal,R,"$159,366,015.00","$160,409,948 ",Horror
A Quiet Place: Part II,28-May-21,Paramount Pictures,PG-13,"$160,215,764.00","$160,215,764 ",Horror
The Others,10-Aug-01,Miramax,PG-13,"$96,522,687.00","$156,380,393 ",Horror
The Conjuring,19-Jul-13,Warner Bros.,R,"$137,400,141.00","$154,976,540 ",Horror
Scream 3,4-Feb-00,Miramax,R,"$89,138,076.00","$151,650,489 ",Horror
I Know What You Did Last Summer,17-Oct-97,Sony Pictures,R,"$72,250,091.00","$144,265,108 ",Horror
Split,20-Jan-17,Universal,PG-13,"$138,141,585.00","$141,221,659 ",Horror
Deep Blue Sea,28-Jul-99,Warner Bros.,R,"$73,648,228.00","$132,943,744 ",Horror
Paranormal Activity,25-Sep-09,Paramount Pictures,R,"$107,918,810.00","$131,944,856 ",Horror
Anaconda,11-Apr-97,Sony Pictures,PG-13,"$65,598,907.00","$131,054,889 ",Horror
Species,7-Jul-95,MGM,R,"$60,054,449.00","$126,597,535 ",Horror
Freddy vs. Jason,15-Aug-03,New Line,R,"$82,622,655.00","$125,646,716 ",Horror
My Big Fat Greek Wedding,19-Apr-02,IFC Films,PG,"$241,438,208.00","$380,285,457 ",Romantic Comedy
There's Something About Mary,15-Jul-98,20th Century Fox,R,"$176,484,651.00","$344,800,904 ",Romantic Comedy
Jerry Maguire,13-Dec-96,Sony Pictures,R,"$153,952,592.00","$313,973,409 ",Romantic Comedy
What Women Want,15-Dec-00,Paramount Pictures,PG-13,"$182,805,123.00","$305,565,060 ",Romantic Comedy
As Good as it Gets,24-Dec-97,Sony Pictures,PG-13,"$148,478,011.00","$292,078,237 ",Romantic Comedy
Runaway Bride,30-Jul-99,Paramount Pictures,PG,"$152,257,509.00","$274,832,896 ",Romantic Comedy
Hitch,11-Feb-05,Sony Pictures,PG-13,"$177,784,257.00","$254,334,104 ",Romantic Comedy
Notting Hill,28-May-99,Universal,PG-13,"$116,089,678.00","$209,555,573 ",Romantic Comedy
The Proposal,19-Jun-09,Walt Disney,PG-13,"$163,958,031.00","$200,466,021 ",Romantic Comedy
Knocked Up,1-Jun-07,Universal,R,"$148,761,765.00","$198,276,940 ",Romantic Comedy
Something's Gotta Give,12-Dec-03,Sony Pictures,PG-13,"$124,685,242.00","$187,696,264 ",Romantic Comedy
Shakespeare in Love,11-Dec-98,Miramax,R,"$100,317,794.00","$182,509,731 ",Romantic Comedy
50 First Dates,13-Feb-04,Sony Pictures,PG-13,"$120,776,832.00","$178,345,175 ",Romantic Comedy
Crazy Rich Asians,15-Aug-18,Warner Bros.,PG-13,"$174,532,921.00","$175,682,345 ",Romantic Comedy
While You Were Sleeping,21-Apr-95,Walt Disney,PG,"$81,057,016.00","$170,871,909 ",Romantic Comedy
Enchanted,21-Nov-07,Walt Disney,PG,"$127,706,877.00","$169,774,783 ",Romantic Comedy
The Break-Up,2-Jun-06,Universal,PG-13,"$118,703,275.00","$166,184,581 ",Romantic Comedy
How to Lose a Guy in 10 Days,7-Feb-03,Paramount Pictures,PG-13,"$105,807,520.00","$160,904,633 ",Romantic Comedy
The Wedding Singer,12-Jan-98,New Line,PG-13,"$80,245,725.00","$156,898,352 ",Romantic Comedy
"Me, Myself & Irene",23-Jun-00,20th Century Fox,R,"$90,570,999.00","$154,088,315 ",Romantic Comedy
America's Sweethearts,20-Jul-01,Sony Pictures,PG-13,"$93,607,673.00","$151,657,660 ",Romantic Comedy
Grumpier Old Men,22-Dec-95,Warner Bros.,PG-13,"$71,518,503.00","$149,403,802 ",Romantic Comedy
Maid in Manhattan,13-Dec-02,Sony Pictures,PG-13,"$93,932,896.00","$147,241,801 ",Romantic Comedy
Nine Months,12-Jul-95,20th Century Fox,PG-13,"$69,660,733.00","$146,848,022 ",Romantic Comedy
Two Weeks Notice,20-Dec-02,Warner Bros.,PG-13,"$93,354,918.00","$145,929,922 ",Romantic Comedy
Beauty and the Beast,17-Mar-17,Walt Disney,PG,"$504,014,165.00","$515,251,938 ",Musical
Frozen,22-Nov-13,Walt Disney,PG,"$400,953,009.00","$451,641,344 ",Musical
Moana,23-Nov-16,Walt Disney,PG,"$248,757,044.00","$262,247,200 ",Musical
Chicago,27-Dec-02,Miramax,PG-13,"$170,687,518.00","$260,101,731 ",Musical
Tangled,24-Nov-10,Walt Disney,PG,"$200,821,936.00","$233,207,946 ",Musical
Coco,22-Nov-17,Walt Disney,PG,"$210,460,015.00","$214,666,555 ",Musical
Mamma Mia!,18-Jul-08,Universal,PG-13,"$144,130,063.00","$184,076,975 ",Musical
The Greatest Showman,20-Dec-17,20th Century Fox,PG,"$174,340,174.00","$176,258,798 ",Musical
Mary Poppins Returns,19-Dec-18,Walt Disney,PG,"$171,958,438.00","$172,908,887 ",Musical
Les MisÃ©rables,25-Dec-12,Universal,PG-13,"$148,809,770.00","$170,338,958 ",Musical
Hairspray,20-Jul-07,New Line,PG,"$118,871,849.00","$158,438,205 ",Musical
La La Land,9-Dec-16,Lionsgate,PG-13,"$151,101,803.00","$155,766,847 ",Musical
Into the Woods,25-Dec-14,Walt Disney,PG,"$128,002,372.00","$142,384,360 ",Musical
Dreamgirls,15-Dec-06,Paramount Pictures,PG-13,"$103,365,956.00","$140,260,102 ",Musical
Mamma Mia: Here We Go Again!,20-Jul-18,Universal,PG-13,"$120,634,935.00","$121,429,452 ",Musical
Fantasia 2000 (Theatrical Release),31-Dec-99,Walt Disney,G,"$69,610,858.00","$118,666,650 ",Musical
Anastasia,14-Nov-97,20th Century Fox,G,"$58,403,409.00","$116,455,699 ",Musical
High School Musical 3: Senior Year,24-Oct-08,Walt Disney,G,"$90,559,416.00","$115,640,486 ",Musical
Evita,25-Dec-96,Walt Disney,PG,"$50,047,179.00","$100,160,361 ",Musical
Annie,19-Dec-14,Sony Pictures,PG,"$85,911,262.00","$95,424,221 ",Musical
"South Park: Bigger, Longer & Uncut",30-Jun-99,Paramount Pictures,R,"$52,037,603.00","$93,934,014 ",Musical
Moulin Rouge,18-May-01,20th Century Fox,PG-13,"$57,386,369.00","$92,960,600 ",Musical
The Phantom of the Opera,22-Dec-04,Warner Bros.,PG-13,"$51,225,796.00","$74,027,842 ",Musical
Sweeney Todd: The Demon Barber o…,21-Dec-07,Paramount Pictures,R,"$52,898,073.00","$69,263,899 ",Musical
Footloose,14-Oct-11,Paramount Pictures,PG-13,"$51,802,742.00","$59,902,456 ",Musical
Fahrenheit 9/11,23-Jun-04,Lionsgate,R,"$119,114,517.00","$175,890,513 ",Documentary
Everest,6-Mar-98,MacGillivray Free…,PG-13,"$87,178,599.00","$167,174,052 ",Documentary
The Living Sea,1-Feb-95,IMAX Films,Not Rated,"$64,800,000.00","$136,601,373 ",Documentary
Jackass 3D,15-Oct-10,Paramount Pictures,R,"$117,229,692.00","$136,247,236 ",Documentary
Space Station,19-Apr-02,IMAX Films,Not Rated,"$93,231,060.00","$133,417,503 ",Documentary
La marche de l'empereur,24-Jun-05,Warner Independent,G,"$77,437,223.00","$110,779,927 ",Documentary
Jackass: Number Two,22-Sep-06,Paramount Pictures,R,"$72,778,712.00","$101,890,190 ",Documentary
Jackass: The Movie,25-Oct-02,Paramount Pictures,R,"$64,282,312.00","$101,453,405 ",Documentary
Dolphins,20-Oct-00,MacGillivray Free…,Not Rated,"$54,000,000.00","$91,870,122 ",Documentary
Michael Jackson's This Is It,28-Oct-09,Sony Pictures,PG,"$72,091,016.00","$88,143,278 ",Documentary
Mysteries of Egypt,16-Jul-98,Sony Pictures,Not Rated,"$40,593,286.00","$71,851,746 ",Documentary
Deep Sea 3D,3-Mar-06,Warner Bros.,G,"$46,406,434.00","$61,610,131 ",Documentary
Hubble 3D,19-Mar-10,Warner Bros.,G,"$52,509,100.00","$59,245,114 ",Documentary
Magnificent Desolation,23-Sep-05,IMAX Films,Not Rated,"$34,126,126.00","$45,565,088 ",Documentary
Under the Sea 3D,13-Feb-09,Warner Bros.,G,"$36,252,198.00","$42,372,397 ",Documentary
Earth,22-Apr-09,Walt Disney,G,"$32,011,576.00","$39,139,486 ",Documentary
2016: Obamaâs America,13-Jul-12,Rocky Mountain Pi…,PG,"$33,349,941.00","$38,419,466 ",Documentary
Thrill Ride: The Science of Fun,11-Jul-97,Sony Pictures Cla…,G,"$18,798,682.00","$35,147,684 ",Documentary
An Inconvenient Truth,24-May-06,Paramount Vantage,PG,"$24,146,161.00","$33,804,618 ",Documentary
Bowling for Columbine,11-Oct-02,MGM,R,"$21,576,018.00","$33,734,403 ",Documentary
Chimpanzee,20-Apr-12,Walt Disney,G,"$28,965,459.00","$33,368,493 ",Documentary
Sicko,22-Jun-07,Lionsgate,PG-13,"$24,538,513.00","$32,706,125 ",Documentary
NASCAR: The IMAX Experience,12-Mar-04,Warner Bros.,PG,"$21,550,235.00","$31,730,392 ",Documentary
Michael Jordan to the MAX,5-May-00,Giant Screen Films,Not Rated,"$18,642,318.00","$31,367,663 ",Documentary
Sea Monsters: A Prehistoric Adve…,5-Oct-07,National Geograph…,Not Rated,"$23,746,066.00","$30,429,169 ",Documentary
American Hustle,13-Dec-13,Sony Pictures,R,"$150,098,456.00","$168,955,783 ",Black Comedy
The Wolf of Wall Street,25-Dec-13,Paramount Pictures,R,"$116,949,183.00","$131,612,508 ",Black Comedy
The Cable Guy,14-Jun-96,Sony Pictures,PG-13,"$60,240,295.00","$124,978,168 ",Black Comedy
Three Kings,1-Oct-99,Warner Bros.,R,"$60,652,036.00","$109,335,726 ",Black Comedy
Dark Shadows,11-May-12,Warner Bros.,PG-13,"$79,727,149.00","$91,846,472 ",Black Comedy
Bad Santa,26-Nov-03,Miramax/Dimension,R,"$60,060,328.00","$91,196,631 ",Black Comedy
The Stepford Wives,11-Jun-04,Paramount Pictures,PG-13,"$59,475,623.00","$87,824,712 ",Black Comedy
The Royal Tenenbaums,14-Dec-01,Walt Disney,R,"$52,353,636.00","$83,496,160 ",Black Comedy
Mars Attacks!,13-Dec-96,Warner Bros.,PG-13,"$37,771,017.00","$78,056,645 ",Black Comedy
Burn After Reading,12-Sep-08,Focus Features,R,"$60,355,347.00","$77,083,359 ",Black Comedy
Striptease,28-Jun-96,Sony Pictures,R,"$33,109,743.00","$68,691,480 ",Black Comedy
Horrible Bosses 2,26-Nov-14,Warner Bros.,R,"$54,445,357.00","$61,061,572 ",Black Comedy
The Ladykillers,26-Mar-04,Walt Disney,R,"$39,692,139.00","$58,611,412 ",Black Comedy
Grosse Pointe Blank,11-Apr-97,Walt Disney,R,"$28,084,357.00","$56,107,525 ",Black Comedy
Kick-Ass,16-Apr-10,Lionsgate,R,"$48,071,303.00","$55,869,940 ",Black Comedy
"Three Billboards Outside Ebbing,…",10-Nov-17,Fox Searchlight,R,"$54,513,740.00","$55,252,414 ",Black Comedy
Gisaengchung,11-Oct-19,Neon,R,"$53,369,745.00","$53,395,773 ",Black Comedy
Death at a Funeral,16-Apr-10,Sony Pictures,R,"$42,739,347.00","$49,672,982 ",Black Comedy
BlacKkKlansman,10-Aug-18,Focus Features,R,"$49,275,340.00","$49,595,771 ",Black Comedy
Snatch,8-Dec-00,Sony Pictures,R,"$30,093,107.00","$48,759,953 ",Black Comedy
Vice,25-Dec-18,Annapurna Pictures,R,"$47,836,282.00","$48,051,836 ",Black Comedy
Birdman or (The Unexpected Virtu…,17-Oct-14,Fox Searchlight,R,"$42,340,598.00","$46,897,590 ",Black Comedy
War Dogs,19-Aug-16,Warner Bros.,R,"$43,034,523.00","$45,621,566 ",Black Comedy
The Players Club,8-Apr-98,New Line,R,"$23,047,939.00","$45,063,874 ",Black Comedy
To Die For,27-Sep-95,Sony Pictures,R,"$21,284,514.00","$44,864,408 ",Black Comedy
True Grit,22-Dec-10,Paramount Pictures,PG-13,"$171,243,005.00","$198,528,070 ",Western
Django Unchained,25-Dec-12,Weinstein Co.,R,"$162,805,434.00","$186,191,862 ",Western
The Lone Ranger,2-Jul-13,Walt Disney,PG-13,"$89,302,115.00","$100,725,747 ",Western
Hidalgo,5-Mar-04,Walt Disney,PG-13,"$67,286,731.00","$99,358,986 ",Western
The Magnificent Seven,23-Sep-16,Sony Pictures,PG-13,"$93,432,655.00","$99,048,948 ",Western
Shanghai Noon,26-May-00,Walt Disney,PG-13,"$56,932,305.00","$96,858,849 ",Western
Shanghai Knights,7-Feb-03,Walt Disney,PG-13,"$60,470,220.00","$91,958,851 ",Western
Open Range,15-Aug-03,Walt Disney,R,"$58,331,254.00","$88,706,068 ",Western
3:10 to Yuma,7-Sep-07,Lionsgate,R,"$53,606,916.00","$71,449,907 ",Western
The Hateful Eight,25-Dec-15,Weinstein Co.,R,"$54,117,416.00","$58,174,297 ",Western
Desperado,25-Aug-95,Sony Pictures,R,"$25,532,388.00","$53,823,443 ",Western
The Dark Tower,4-Aug-17,Sony Pictures,PG-13,"$50,701,325.00","$51,831,793 ",Western
A Million Ways to Die in The West,30-May-14,Universal,R,"$42,720,965.00","$47,949,967 ",Western
The Missing,26-Nov-03,Sony Pictures,R,"$26,900,336.00","$40,873,817 ",Western
The Quick and the Dead,10-Feb-95,Sony Pictures,R,"$18,552,460.00","$39,109,436 ",Western
The Alamo,9-Apr-04,Walt Disney,PG-13,"$22,406,362.00","$33,086,360 ",Western
Hostiles,22-Dec-17,Entertainment Stu…,R,"$29,819,114.00","$30,016,849 ",Western
Hell or High Water,12-Aug-16,Lionsgate,R,"$27,007,844.00","$28,631,436 ",Western
